Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,H3_USECASE_Diagram
2,Page,,,,,,,,,,UML Class
3,Use Case,UML,2,,,,,,,,Add Product
4,Use Case,UML,2,,,,,,,,Delete Product
5,Use Case,UML,2,,,,,,,,Update Product
6,Use Case,UML,2,,,,,,,,Update Stock
7,Use Case,UML,2,,,,,,,,Get Department
8,Use Case,UML,2,,,,,,,,Get Empolyes
9,Use Case,UML,2,,,,,,,,Get Warehouses
10,Use Case,UML,2,,,,,,,,Get Empolyes
11,Use Case,UML,2,,,,,,,,Get Empolye
12,Text,Standard,2,,,,,,,,Warehouses
13,Text,Standard,2,,,,,,,,Departments
14,Text,Standard,2,,,,,,,,Empolyes
15,Use Case,UML,2,,,,,,,,Add Empolye
16,Use Case,UML,2,,,,,,,,Delete Empolye
17,Use Case,UML,2,,,,,,,,Update Empolye
18,Use Case,UML,2,,,,,,,,Get Orders
19,Use Case,UML,2,,,,,,,,Get Order
20,Text,Standard,2,,,,,,,,Orders
21,Use Case,UML,2,,,,,,,,Add Order
22,Use Case,UML,2,,,,,,,,Delete Order
23,Use Case,UML,2,,,,,,,,Update Order
24,Use Case,UML,2,,,,,,,,Get Customers
25,Use Case,UML,2,,,,,,,,Get Customer
26,Text,Standard,2,,,,,,,,Customer
27,Use Case,UML,2,,,,,,,,Add Customer
28,Use Case,UML,2,,,,,,,,Delete Customer
29,Use Case,UML,2,,,,,,,,Update Customer
30,Actor,UML,2,,,,,,,,Admin
31,Use Case,UML,2,,,,,,,,Get Products
32,Use Case,UML,2,,,,,,,,Get Product
33,Use Case,UML,2,,,,,,,,Get Warehouses
34,Use Case,UML,2,,,,,,,,Get Warehouse
35,Use Case,UML,2,,,,,,,,Get Departments
36,Text,Standard,2,,,,,,,,Products
37,Line,,2,,,30,12,None,Arrow,,
38,Line,,2,,,30,13,None,Arrow,,
39,Line,,2,,,30,14,None,Arrow,,
40,Line,,2,,,30,20,None,Arrow,,
41,Line,,2,,,30,26,None,Arrow,,
42,Line,,2,,,30,36,None,Arrow,,